"obs","AKT_R_SA","BP_IM_SA","CN_N_SA","CN_R_SA","E_SA","E_SAL_SA","G_N_SA","G_R_SA","I_N_SA","I_R_SA","IK_R_SA","IL_M1","L_SA","LT_EUR","M_N_SA","M_R_EU15_SA","M_R_SA","M_RU_USD_SA","P_CN_SA","P_CPI_SA","P_G_SA","P_I_SA","P_M_EU15_SA","P_M_SA","P_X_SA","P_Y_SA","T","U_SA","UCC_SA","W_B_SA","X_N_SA","X_R_SA","Y_KOMP_SA","Y_MISR_SA","Y_N_SA","Y_R_SA"
"2001Q3",-19.522074785529099,4168.7943349999896,7847.5240097545602,7688.7456652402898,1345.2099202545101,869.21756657693004,2612.3564658448299,2663.1614274398398,2167.7327348875401,2393.2994173073398,2317.1627482045701,9.5800000000000001,1636.2729360000001,3.5608,6510.9967601614999,779869.44200000004,6688.1930649395799,18863.078270000002,1.0206507473946,0.97699663074640297,0.97795350913899703,0.905056508276459,0.99837310099999999,0.97068021699999996,0.97444004299999998,0.99510105784576497,26.0,17.932793816135401,10.4667892255359,1062.8841693320801,6033.6597069951104,6204.6908480000002,4596.0624213710198,4209.9077999884303,12120.8409981074,12166.0455491596
"2001Q4",130.23777431062899,4674.3185270000004,8100.4432784820801,7842.1024596294701,1346.94560426368,869.29840609315704,2535.36740182434,2660.7221839404201,2732.5026100003101,2880.88049426107,2774.6142131126398,8.6966666670000006,1633.434276,3.5823999999999998,7198.5480776539198,772453.0797,7567.7814005432501,19278.238949999999,1.03294280075815,0.98029186669691704,0.95883527252603495,0.92419670005515397,0.98186380200000001,0.94988628100000005,0.92817249899999998,0.98907854492703495,27.0,17.6666821832486,9.2286646682079905,1070.9722426385899,6228.04132808129,6698.5130810000001,4658.4703082665501,4326.1936731515898,12400.493195590299,12538.408311449901
"2002Q1",134.113913521678,4895.3208860000004,8243.1071853243393,8043.6338579533303,1372.6068590324601,862.94165286972202,2741.72408307657,2589.0413148607299,2362.8950705203802,2673.6183330720601,2631.4527275413602,7.7833333329999999,1636.550446,3.4807000000000001,7121.6343635519097,774623.37459999998,7572.2571563081001,19192.943810000001,1.0247989069236101,0.98312170975010404,1.04077905444135,0.89954928715145099,0.98118134700000004,0.93982362900000005,0.92015598799999998,0.990379172558981,28.0,16.041505995843,7.6031479422067401,1114.4649823919001,6346.4686318571203,6870.5341529999996,4966.6393546885702,4063.7946706883099,12502.902384175,12696.518810568999
"2002Q2",213.26176818149,5011.6054940000004,8312.67792342539,8109.0305976926502,1410.20685646727,870.42378120105695,2576.35080184138,2631.6773583069098,2694.3996266281301,2852.7768606309601,2608.4378457037101,7.1133333329999999,1633.1669449999999,3.4525000000000001,7760.4119643022404,796140.20689999999,8133.3229663503598,20580.63118,1.0251136462341901,0.97376465231549503,0.986430102439245,0.94429886658783102,0.97990865199999999,0.95721682699999999,0.9322587,0.99788704679024298,29.0,13.397004127100701,6.3724629455455197,1110.14838441812,6992.9253364023398,7512.4688509999896,4876.9461690006201,4578.9674725408804,12946.09822837,12941.5534545344
"2002Q3",147.453892721946,5360.6349110000001,8382.7555414023791,8290.0352811695302,1423.8915645964,871.19312626696205,2798.2996283360499,2763.2325252661899,2745.7458221470201,2855.7784428474502,2619.87679858105,6.2833333329999901,1629.583717,3.4527000000000001,7560.7042353502902,801310.68279999995,8076.9866650389104,21637.73647,1.01118454350169,0.96883071161406198,1.00819375114173,0.96403688043453295,0.96889013800000001,0.93448725499999996,0.92767423800000004,1.0026188255655299,30.0,12.5406540344189,5.8516758800796396,1122.8948119521799,6889.7208396710803,7442.689781,5031.5837587119004,4721.87081346588,13242.778777347599,13186.301613699799
"2002Q4",175.62726352587501,5756.7243559999897,8417.2225638135005,8178.0298584584298,1415.56454566865,880.71570108363403,2768.3355090527698,2783.2086604649999,2871.7290793995398,3058.6102158414301,2846.8841532163401,6.0533333330000003,1621.6285399999999,3.4525999999999999,7892.8868137435202,803326.36029999994,8428.7628707891508,22560.775030000001,1.0292482064133901,0.96908817624760202,1.00146372448586,0.91677351596748702,0.97143586100000001,0.93481502699999997,0.92067414700000005,0.99761150503468699,31.0,12.842936544713901,6.5645473175209297,1126.11339845714,7135.4366250878002,7748.5850219999902,5173.2585865516503,4558.9704789217003,13260.4076195578,13303.5720868765
"2003Q1",368.62530398700602,6149.0124450000003,8886.6595598509502,8705.5782937666409,1405.6348299009601,895.40621396762299,2764.7820953287101,2634.1680706995598,2567.5900319635898,3062.6448183562702,2726.45286568549,6.233333333,1608.7003440000001,3.4527000000000001,7910.7184551840501,810689.54000000004,8414.0529185926007,23896.036749999999,1.0208006016342299,0.96820859786406899,1.0320716121983899,0.84648821145854203,0.96407489499999999,0.93987583900000005,0.95972274199999996,1.00002066375994,32.0,12.7228745005098,6.0175467811723102,1151.7354312244099,7700.7857611176496,7979.4250499999998,5363.6100182651298,5074.8982399750703,13972.3225207958,14000.1966655461
"2003Q2",421.47058021795698,6625.7332729999898,9026.1008842910596,8876.9909586454596,1463.0203742942599,905.78861069646496,2867.7923057581702,2868.1250449026802,2986.5860065277302,3480.30467953161,3062.7203119620699,6.1566666669999899,1690.228548,3.4527999999999999,7695.8610267618797,803630.53599999996,8501.0256736312695,24656.4712,1.01679735017645,0.966446906474413,1.00386536032866,0.86036759581518696,0.94274334199999998,0.90706824200000002,0.89744939499999998,0.98833218308521997,33.0,13.268403648940099,7.2783881795732501,1163.1335529425901,6623.0265257791298,7399.4550589999999,5529.2002534067797,4913.5286161813501,13977.435276800101,14127.736281096901
"2003Q3",683.34647084329094,7704.0930340000004,9044.4398171345892,8939.2914343494504,1441.47059937212,913.301891537036,2808.6930657009798,2819.8202796877899,3360.06595126612,3893.3913683186802,3135.2424980655601,5.4633333329999996,1641.305456,3.4527999999999999,8193.6110720373399,816467.88540000003,9110.2561742976995,26503.337670000001,1.0117624963407099,0.95940365081353296,0.99490701061419995,0.86685416260151305,0.94036589000000004,0.898667997,0.90497390200000005,0.98298278436068298,34.0,12.2504347525744,5.9298770536255798,1169.2126568242099,7288.8138897832396,8067.5930169999901,5632.2798562364196,5122.62922479811,14300.572529076,14535.0375256484
"2003Q4",571.93543562433604,8602.8325229999991,9480.6259576225693,9449.9639094082195,1439.93800008165,923.26833672433702,2820.06684860312,2886.6183923759199,3419.1423859107499,3755.7650271186599,3199.0558493032399,5.4733333329999896,1625.907222,3.4525999999999999,8611.70321558869,831398.99849999999,9543.6360100724196,27565.358929999999,1.0032446735784699,0.95671344889326704,0.98269889569719104,0.89138985241764401,0.94219694799999998,0.90085016600000001,0.91629408700000003,0.98821926708555696,35.0,11.492492434331201,4.9099106640418499,1185.81507706498,7528.6192786470701,8211.1187009999994,5678.1147617275601,5200.9496237270596,14593.4298123513,14775.0562776393
