"obs","AKT_R_SA","IL_M1","L_SA","LT_EUR","M_R_EU15_SA","M_RU_USD_SA","P_M_EU15_SA","P_M_SA","P_X_SA","T","X_R_SA","BP_IM_SA","G_N_SA"
"2002Q4",175.62726378973599,6.0533333330000003,1621.62853989325,3.4525999999999999,803326.36025117303,22560.775033581798,0.97143586065531395,0.934815026968148,0.92067414660843705,31.0,7748.5850217361403,5756.7243563386401,2768.3355090527698
"2003Q1",368.625304379385,6.233333333,1608.70034377509,3.4527000000000001,810689.54001491703,23896.036750638599,0.96407489484353504,0.93987583904149197,0.95972274234947097,32.0,7979.4250496076202,6149.0124451232896,2764.7820953287101
"2003Q2",421.47057981645702,6.1566666669999899,1690.22854793839,3.4527999999999999,803630.536029852,24656.471195554601,0.942743342460441,0.90706824225411997,0.89744939546031,33.0,7399.45505940149,6625.7332734764695,2867.7923057581702
"2003Q3",683.34647109580101,5.4633333329999996,1641.3054557909099,3.4527999999999999,816467.88544141105,26503.337673123198,0.94036589026978301,0.89866799650900198,0.90497390222435703,34.0,8067.5930167474899,7704.0930344894896,2808.6930657009798
"2003Q4",571.93543579839502,5.4733333329999896,1625.9072223574899,3.4525999999999999,831398.99849532405,27565.358927527701,0.94219694823575695,0.90085016598342704,0.91629408683087898,35.0,8211.1187008259403,8602.8325234950207,2820.06684860312
"2004Q1",932.00999075223001,5.4100000000000001,1624.14629253366,3.4529999999999998,841624.67738601298,29955.022348017399,0.94330571656491102,0.896846049419325,0.94572655501453495,36.0,7854.1345881184798,9202.5863098282298,2907.5679371310298
"2004Q2",797.24086508757102,5.4666666669999904,1618.98633890717,3.4527999999999999,864699.51346907904,31357.514770592301,0.96049029918037498,0.90737988561643801,0.97187902636179002,37.0,7932.87774754368,10162.2115830311,3046.5403639404599
"2004Q3",535.29205934595302,5.5,1614.45700013851,3.4527999999999999,882369.82071103598,33426.669953862103,0.96757529417503196,0.90248192918297199,0.99916628605648405,38.0,8466.4945813638005,10379.2852870278,3072.4519622067701
"2004Q4",780.18507252549296,5.2320193689999899,1623.6743016549501,3.4527999999999999,901030.58064427704,35135.491189466004,0.96986242648413601,0.91026750842940496,1.0164611165030999,39.0,8765.2861895048409,10933.339870640801,3076.3346500964399
"2005Q1",757.98263659963698,5.1259455269999998,1615.40558491395,3.4527999999999999,880253.35091035604,37823.043791527103,0.97351758226155305,0.91724085814954504,1.0165522387694601,40.0,9090.5223045641706,11760.443490527499,3164.03161643152
"2005Q2",656.80484200041701,4.9553546070000003,1605.3449167900999,3.4527999999999999,929330.90347670997,39144.703696071403,0.98283677092965205,0.94782532381842399,1.03391776814221,41.0,9523.1193666495601,12841.8362214139,3319.3316879669401
"2005Q3",208.256981307584,4.7702535319999999,1598.6203579660901,3.4527999999999999,936560.98498062103,41949.814675877802,0.998829566175095,1.0057563482784999,1.07917448457084,42.0,9765.12202783059,14179.2845883718,3317.9695381219199
"2005Q4",177.463407800558,4.5896963,1606.0500563323501,3.4527999999999999,956009.71410388802,44187.419281003196,1.0122101512380199,1.0193259022088099,1.11240313286071,43.0,10503.007399411201,15703.559477405501,3601.2335043877902
"2006Q1",714.15541537583101,4.4259612380000002,1592.0328911249901,3.4527999999999999,994226.79698064504,45529.940119874504,1.0271227492761901,1.0511796158654001,1.11448033117024,44.0,10962.9196610894,17677.8840198453,3641.32873996638
"2006Q2",-188.5502483592,4.712554248,1587.7269447595399,3.4527999999999999,1009128.2224648501,50217.193328723697,1.0277941622505899,1.0647669703666001,1.11919129675882,45.0,11153.451963879999,19434.9584548126,3554.7711044222301
"2006Q3",74.205649528483207,5.0565162279999996,1591.1384341592,3.4527999999999999,995558.19070079899,52839.545252651602,1.03065036725555,1.0600805959305899,1.1280061710388001,46.0,10657.9458510002,20880.760671345699,4369.3740528644103
"2006Q4",4.4228627222419101,5.2637711950000003,1580.70906185438,3.4527999999999999,1019295.24848134,58394.403006832399,1.03009407794094,1.05229762183164,1.12337912221389,47.0,10844.352959280801,22260.896397041299,4334.5547852422396
"2007Q1",192.75077414217901,5.5896367429999998,1594.60145328864,3.4527999999999999,1040611.98649695,62917.134692283304,1.03438836576682,1.07740202513283,1.1493414016888399,48.0,11146.4110380893,24170.300065130301,4152.8057665631304
"2007Q2",717.90120984623695,6.2680873879999899,1608.6070766431999,3.4527999999999999,1042974.84937082,67376.024967503705,1.03933256118324,1.0942353029738201,1.1796323944389899,49.0,11294.3406962751,25963.8075106424,4291.9733779772096
"2007Q3",355.29694882195099,6.916929455,1610.7050877623201,3.4527999999999999,1057329.46504264,71092.879822212504,1.0381065925446999,1.1058961150870901,1.1788335957984299,50.0,11626.217762119501,28086.968817958801,4465.2136237294098
"2007Q4",11.900062159731499,7.7705107030000002,1597.4291866307899,3.4527999999999999,1059369.1854085799,77812.760279409602,1.0511602728376801,1.15138598006134,1.24188343232427,51.0,10820.6500289373,30508.0187643385,4646.1352594243799
"2008Q1",1490.9078662706299,7.8069006559999998,1596.31068052061,3.4527999999999999,1075154.88282028,89098.883427225694,1.06534424964868,1.1943173649677099,1.3266189836126301,52.0,12319.8934590714,32295.6471529023,5003.1715579950196
"2008Q2",559.76346630072999,7.5570068389999996,1597.04249644276,3.4527999999999999,1082615.01007091,96235.8626836599,1.07428014715235,1.2206009832532601,1.35094944718849,53.0,13002.6176770936,34260.349030688099,5266.7204986850702
"2008Q3",702.903951554983,7.7202027470000001,1620.8072517529699,3.4527999999999999,1068370.7854716801,100091.28215126701,1.0838078476776101,1.21647219510912,1.3564873009088501,54.0,13004.6846219813,35434.0575580476,5478.9211483044401
"2008Q4",12.1750934388619,9.3828811099999996,1642.43633505398,3.4527999999999999,1014685.62108598,81920.503649018094,1.0454654033414099,1.16695239234648,1.27300696971827,55.0,11998.622834609399,35345.1216377991,5628.8411510194701
"2009Q1",-1030.3255939313301,8.2083902549999994,1636.1582623945101,3.4527999999999999,936709.51439009001,60565.0466016063,1.00700900832954,1.07794655350872,1.1658364788242701,56.0,10710.1494023164,34904.746744793301,5581.2946420400804
"2009Q2",-1158.9466652352201,8.6126894370000002,1645.32420766157,3.4527999999999999,914530.342455526,59520.525178418196,0.99806809196926005,1.0596825984234299,1.16877940645546,57.0,9971.0217333492001,33957.6395319804,5208.3058071186597
"2009Q3",-435.26515255661798,8.6349245240000005,1637.6859532962201,3.4527999999999999,940523.75865395204,62923.628391909202,0.99652039321836205,1.07594127357498,1.11773959686293,58.0,10818.853930909099,33063.315401786902,4706.4891176514202
"2009Q4",202.32613393289401,7.2086439550000003,1644.3835316048001,3.4527999999999999,957497.779940799,69202.7189263584,1.00265472291476,1.0848316669531499,1.17452910236157,59.0,11069.860625329,32014.969352284501,3954.9140462223399
"2010Q1",202.32613393289401,6.5,1644.3835316048001,3.4527999999999999,964679.0132903551,67991.67134514713,1.00265472291476,1.0848316669531499,1.17452910236157,60.0,11208.233883145613,31614.782235380946,4004.3504718001191
"2010Q2",202.32613393289401,6.5,1640.2725727757881,3.4527999999999999,971914.10589003284,67141.775453332797,1.00265472291476,1.0848316669531499,1.17452910236157,61.0,11348.336806684933,31219.597457438686,4054.4048526976203
"2010Q3",202.32613393289401,6.5,1636.1718913438488,3.4527999999999999,984063.03221365821,66973.921014699474,1.00265472291476,1.0848316669531499,1.17452910236157,62.0,11546.932700801919,30829.352489220702,4105.0849133563406
"2010Q4",202.32613393289401,6.0,1632.0814616154892,3.4527999999999999,996363.82011632889,66973.921014699474,1.00265472291476,1.0848316669531499,1.17452910236157,63.0,11749.004023065954,30443.985583105445,4156.3984747732948
